Title,Genre,Rating,Score,Overview,Star1,Star2,Star3,Star4,Director,metadata
Remember the Titans,"Biography, Drama, Sport",0.117647058823529,0.2777777777777778,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,Denzel Washington,Will Patton,Wood Harris,Ryan Hurst,Boaz Yakin,biography drama sport true story newly appointed africanamerican coach high school team first season racially integrated unit denzel washington boaz yakin
Wo hu cang long,"Action, Adventure, Fantasy",0.117647058823529,0.9166666666666667,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,Yun-Fat Chow,Michelle Yeoh,Ziyi Zhang,Chen Chang,Ang Lee,action adventure fantasy young chinese warrior steal sword famed swordsman escape world romantic adventure mysterious man frontier nation yunfat chow ang lee
Todo sobre mi madre,Drama,0.117647058823529,0.8194444444444444,"Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela.",Cecilia Roth,Marisa Paredes,Candela Peña,Antonia San Juan,Pedro Almodóvar,drama young esteban want become writer also discover identity second mother trans woman carefully concealed mother manuela cecilia roth pedro almodóvar
Cast Away,"Adventure, Drama, Romance",0.117647058823529,0.625,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,Tom Hanks,Helen Hunt,Paul Sanchez,Lari White,Robert Zemeckis,adventure drama romance fedex executive undergoes physical emotional transformation crash landing deserted island tom hank robert zemeckis
The Boondock Saints,"Action, Crime, Thriller",0.117647058823529,0.2222222222222222,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.,Willem Dafoe,Sean Patrick Flanery,Norman Reedus,David Della Rocco,Troy Duffy,action crime thriller two irish catholic brother become vigilante wipe boston criminal underworld name god willem dafoe troy duffy
The Insider,"Biography, Drama, Thriller",0.117647058823529,0.7777777777777777,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,Russell Crowe,Al Pacino,Christopher Plummer,Diane Venora,Michael Mann,biography drama thriller research chemist come personal professional attack decides appear 60 minute exposé big tobacco russell crowe michael mann
October Sky,"Biography, Drama, Family",0.117647058823529,0.5972222222222222,"The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes.",Jake Gyllenhaal,Chris Cooper,Laura Dern,Chris Owen,Joe Johnston,biography drama family true story homer hickam coal miner son inspired first sputnik launch take rocketry father wish jake gyllenhaal joe johnston
Shrek,"Animation, Adventure, Comedy",0.117647058823529,0.7777777777777777,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",Vicky Jenson,Mike Myers,Eddie Murphy,Cameron Diaz,Andrew Adamson,animation adventure comedy mean lord exile fairytale creature swamp grumpy ogre must go quest rescue princess lord order get land back vicky jenson andrew adamson
Titanic,"Drama, Romance",0.117647058823529,0.6527777777777777,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,James Cameron,drama romance seventeenyearold aristocrat fall love kind poor artist aboard luxurious illfated rms titanic leonardo dicaprio james cameron
Gattaca,"Drama, Sci-Fi, Thriller",0.117647058823529,0.5,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,Ethan Hawke,Uma Thurman,Jude Law,Gore Vidal,Andrew Niccol,drama scifi thriller genetically inferior man assumes identity superior one order pursue lifelong dream space travel ethan hawke andrew niccol
The Game,"Action, Drama, Mystery",0.117647058823529,0.45833333333333337,"After a wealthy banker is given an opportunity to participate in a mysterious game, his life is turned upside down when he becomes unable to distinguish between the game and reality.",Michael Douglas,Deborah Kara Unger,Sean Penn,James Rebhorn,David Fincher,action drama mystery wealthy banker given opportunity participate mysterious game life turned upside becomes unable distinguish game reality michael douglas david fincher
Breaking the Waves,Drama,0.117647058823529,0.6666666666666667,"Oilman Jan is paralyzed in an accident. His wife, who prayed for his return, feels guilty; even more, when Jan urges her to have sex with another.",Emily Watson,Stellan Skarsgård,Katrin Cartlidge,Jean-Marc Barr,Lars von Trier,drama oilman jan paralyzed accident wife prayed return feel guilty even jan urge sex another emily watson lars von trier
Ed Wood,"Biography, Comedy, Drama",0.117647058823529,0.5833333333333334,"Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.",Johnny Depp,Martin Landau,Sarah Jessica Parker,Patricia Arquette,Tim Burton,biography comedy drama ambitious troubled movie director edward wood jr try best fulfill dream despite lack talent johnny depp tim burton
What's Eating Gilbert Grape,Drama,0.117647058823529,0.625,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,Johnny Depp,Leonardo DiCaprio,Juliette Lewis,Mary Steenburgen,Lasse Hallström,drama young man small midwestern town struggle care mentallydisabled younger brother morbidly obese mother attempting pursue happiness johnny depp lasse hallström
Tombstone,"Action, Biography, Drama",0.117647058823529,0.3055555555555556,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.",Kevin Jarre,Kurt Russell,Val Kilmer,Sam Elliott,George P. Cosmatos,action biography drama successful lawman plan retire anonymously tombstone arizona disrupted kind outlaw famous eliminating kevin jarre george p cosmatos
The Sandlot,"Comedy, Drama, Family",0.117647058823529,0.375,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",Tom Guiry,Mike Vitar,Art LaFleur,Patrick Renna,David Mickey Evans,comedy drama family summer 1962 new kid town taken wing young baseball prodigy rowdy team resulting many adventure tom guiry david mickey evans
The Remains of the Day,"Drama, Romance",0.117647058823529,0.7777777777777777,A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,Anthony Hopkins,Emma Thompson,John Haycraft,Christopher Reeve,James Ivory,drama romance butler sacrificed body soul service year leading world war ii realizes late misguided loyalty lordly employer anthony hopkins james ivory
The Fugitive,"Action, Crime, Drama",0.117647058823529,0.8194444444444444,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",Harrison Ford,Tommy Lee Jones,Sela Ward,Julianne Moore,Andrew Davis,action crime drama dr richard kimble unjustly accused murdering wife must find real killer target nationwide manhunt led seasoned u marshal harrison ford andrew davis
A Bronx Tale,"Crime, Drama, Romance",0.117647058823529,0.7222222222222223,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,Robert De Niro,Chazz Palminteri,Lillo Brancato,Francis Capra,Robert De Niro,crime drama romance father becomes worried local gangster befriends son bronx 1960s robert de niro robert de niro
Night on Earth,"Comedy, Drama",0.117647058823529,0.5555555555555556,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,Winona Ryder,Gena Rowlands,Lisanne Falk,Alan Randolph Scott,Jim Jarmusch,comedy drama anthology 5 different cab driver 5 american european city remarkable fare eventful night winona ryder jim jarmusch
La double vie de Véronique,"Drama, Fantasy, Music",0.117647058823529,0.8055555555555556,"Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected.",Irène Jacob,Wladyslaw Kowalski,Halina Gryglaszewska,Kalina Jedrusik,Krzysztof Kieslowski,drama fantasy music two parallel story two identical woman one living poland france dont know life nevertheless profoundly connected irène jacob krzysztof kieslowski
Boyz n the Hood,"Crime, Drama",0.117647058823529,0.6666666666666667,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.",Cuba Gooding Jr.,Laurence Fishburne,Hudhail Al-Amir,Lloyd Avery II,John Singleton,crime drama follows life three young male living crenshaw ghetto los angeles dissecting question race relationship violence future prospect cuba gooding jr john singleton
Misery,"Drama, Thriller",0.117647058823529,0.6527777777777777,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.",James Caan,Kathy Bates,Richard Farnsworth,Frances Sternhagen,Rob Reiner,drama thriller famous author rescued car crash fan novel come realize care receiving beginning nightmare captivity abuse james caan rob reiner
Awakenings,"Biography, Drama",0.117647058823529,0.6388888888888888,"The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.",Robert De Niro,Robin Williams,Julie Kavner,Ruth Nelson,Penny Marshall,biography drama victim encephalitis epidemic many year ago catatonic ever since new drug offer prospect reviving robert de niro penny marshall
Glory,"Biography, Drama, History",0.117647058823529,0.6944444444444444,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",Matthew Broderick,Denzel Washington,Cary Elwes,Morgan Freeman,Edward Zwick,biography drama history robert gould shaw lead u civil war first allblack volunteer company fighting prejudice union army confederate matthew broderick edward zwick
